Id,Label,sex,nationality,occupation,year_of_birth,military_civilian,year_of_selection,total_number_of_missions
168,"Wang, Taylor Gun-Jin",male,U.S.,PSP,1940,civilian,1984,1
169,"Creighton, John O.",male,U.S.,pilot,1943,military,1978,3
170,"Nagel, Steven R.",male,U.S.,MSP,1946,military,1978,4
171,"Lucid, Shannon W.",female,U.S.,MSP,1943,civilian,1978,5
172,"Baudry, Patrick",male,France,PSP,1946,military,1980,1
173,"Al-saud, Sultan bin Salman",male,Saudi Arabia,PSP,1956,civilian,1985,1
174,"Bridges, Roy D., Jr.",male,U.S.,pilot,1943,military,1980,1
175,"Henize, Karl G.",male,U.S.,MSP,1926,civilian,1967,1
176,"England, Anthony W.",male,U.S.,MSP,1942,civilian,1967,1
177,"Acton, Loren Wilbur",male,U.S.,PSP,1936,civilian,1978,1
178,"Bartoe, John-David Francis",male,U.S.,PSP,1944,civilian,1978,1
179,"Covey, Richard O.",male,U.S.,pilot,1946,military,1978,4
180,"Lounge, John M.",male,U.S.,MSP,1946,civilian,1980,3
181,"Fisher, William F.",male,U.S.,MSP,1946,civilian,1980,1
182,"Vasyutin, Vladimir",male,U.S.S.R/Russia,commander,1952,military,1976,1
183,"Volkov, Alexander",male,U.S.S.R/Russia,MSP,1948,military,1976,3
184,"Grabe, Ronald J.",male,U.S.,pilot,1945,military,1980,4
185,"Hilmers, David C.",male,U.S.,MSP,1950,military,1980,4
186,"Pailes, William Arthur",male,U.S.,PSP,1936,military,1982,1
187,"Dunbar, Bonnie J.",female,U.S.,MSP,1949,civilian,1980,5
188,"Furrer, Reinhard Alfred",male,Germany,PSP,1940,civilian,1982,1
189,"Messerschmid, Ernst Willi",male,Germany,PSP,1945,military,1982,1
190,"Ockels, Wubbo Johannes",male,Netherland,PSP,1946,civilian,1978,1
191,"O'Connor, Bryan D.",male,U.S.,pilot,1946,military,1980,2
192,"Ross, Jerry L.",male,U.S.,MSP,1948,military,1980,7
193,"Cleave, Mary L.",female,U.S.,MSP,1947,civilian,1980,2
194,"Spring, Sherwood C.",male,U.S.,MSP,1944,military,1980,1
195,"Neri Vela, Rodolfl",male,Mexico,PSP,1952,civilian,1985,1
